"{435.2373352050781, 453.36077880859375}","{934.064697265625, 353.5455017089844}","{408.8716125488281, 83.05938720703125}","{540.9226684570312, 182.3406982421875}","{159.87911987304688, 62.1351318359375}","{80.3441390991211, 134.74267578125}","{328.8031005859375, 273.4849548339844}","{312.51275634765625, 325.3009033203125}","{624.4645385742188, 358.0162048339844}","{708.9221801757812, 424.18768310546875}","{620.1244506835938, 479.6620788574219}","{595.0667724609375, 533.24560546875}","{525.4030151367188, 576.7974243164062}","{888.3917846679688, 499.2843322753906}","{988.367919921875, 708.7933959960938}"
"{434.23162841796875, 452.3370056152344}","{933.582275390625, 354.8841857910156}","{408.1417541503906, 82.48956298828125}","{539.4370727539062, 181.15948486328125}","{160.13307189941406, 62.275146484375}","{80.98348236083984, 134.1724853515625}","{327.1148376464844, 275.2526550292969}","{312.027099609375, 324.6922912597656}","{621.14794921875, 357.2297668457031}","{708.1917114257812, 423.75506591796875}","{619.892333984375, 478.2289733886719}","{593.4390869140625, 530.2088012695312}","{525.1288452148438, 575.1204223632812}","{887.9381103515625, 499.3907165527344}","{986.5912475585938, 711.1504516601562}"
"{434.26806640625, 451.881591796875}","{936.1348876953125, 355.903076171875}","{405.81683349609375, 83.68414306640625}","{538.2247924804688, 181.5469970703125}","{158.6663360595703, 61.31396484375}","{79.21161651611328, 133.454345703125}","{326.87213134765625, 274.269775390625}","{313.74591064453125, 324.15667724609375}","{622.9264526367188, 355.19580078125}","{708.6622924804688, 421.1507873535156}","{620.5286254882812, 477.8614807128906}","{591.7377319335938, 529.9346923828125}","{526.778564453125, 575.6001586914062}","{887.6987915039062, 500.1094970703125}","{989.9739990234375, 710.7201538085938}"
"{433.1886901855469, 450.65374755859375}","{936.6664428710938, 353.4565734863281}","{407.39862060546875, 83.3485107421875}","{536.529052734375, 182.4046630859375}","{156.70681762695312, 61.45538330078125}","{79.23307800292969, 133.14739990234375}","{324.79229736328125, 274.0271301269531}","{315.7408752441406, 324.8807678222656}","{625.0421142578125, 355.6527099609375}","{708.5599365234375, 422.71368408203125}","{620.424072265625, 475.80377197265625}","{589.5640258789062, 531.2699584960938}","{525.388916015625, 574.2557373046875}","{887.56201171875, 500.1397399902344}","{987.7734985351562, 711.568115234375}"
"{433.1886901855469, 450.65374755859375}","{936.6664428710938, 353.4565734863281}","{407.39862060546875, 83.3485107421875}","{536.529052734375, 182.4046630859375}","{156.70681762695312, 61.45538330078125}","{79.23307800292969, 133.14739990234375}","{324.79229736328125, 274.0271301269531}","{315.7408752441406, 324.8807678222656}","{625.0421142578125, 355.6527099609375}","{708.5599365234375, 422.71368408203125}","{620.424072265625, 475.80377197265625}","{589.5640258789062, 531.2699584960938}","{525.388916015625, 574.2557373046875}","{887.56201171875, 500.1397399902344}","{987.7734985351562, 711.568115234375}"
"{432.8702087402344, 450.938232421875}","{937.3646240234375, 354.94464111328125}","{407.7130432128906, 81.78778076171875}","{536.744384765625, 180.65277099609375}","{158.55490112304688, 59.91558837890625}","{78.26873779296875, 134.19549560546875}","{325.8468322753906, 275.3392639160156}","{314.3466491699219, 325.9982604980469}","{624.888916015625, 353.0211486816406}","{708.1995239257812, 425.53033447265625}","{620.2351684570312, 476.2030334472656}","{589.9657592773438, 531.4589233398438}","{523.780517578125, 576.4647827148438}","{887.4863891601562, 499.5711975097656}","{988.3824462890625, 709.7689819335938}"
"{433.093505859375, 448.7312927246094}","{937.0300903320312, 353.82257080078125}","{407.0679016113281, 82.05023193359375}","{534.7188110351562, 179.22381591796875}","{159.46905517578125, 58.88128662109375}","{79.09117889404297, 131.45318603515625}","{325.70440673828125, 274.0694885253906}","{313.7076110839844, 325.6405029296875}","{624.548828125, 353.70751953125}","{710.4217529296875, 427.2413635253906}","{621.6207275390625, 475.9779968261719}","{588.1908569335938, 530.4454345703125}","{523.7171020507812, 577.1781005859375}","{888.4240112304688, 498.804443359375}","{990.1930541992188, 708.3561401367188}"
"{433.95831298828125, 448.9574279785156}","{935.9207153320312, 356.0194396972656}","{405.54962158203125, 80.9267578125}","{535.233642578125, 176.88153076171875}","{158.97564697265625, 57.40606689453125}","{78.65902709960938, 132.11968994140625}","{325.8291320800781, 273.8811950683594}","{313.16845703125, 325.81878662109375}","{624.1735229492188, 354.551025390625}","{711.67333984375, 425.5244445800781}","{621.0455932617188, 476.1459655761719}","{589.4371337890625, 532.2501220703125}","{524.0453491210938, 577.575439453125}","{889.3416748046875, 500.2240295410156}","{989.6192016601562, 708.7628784179688}"
"{432.5257873535156, 449.6837158203125}","{934.5977783203125, 357.8515930175781}","{402.4732666015625, 83.79620361328125}","{535.5870971679688, 175.78692626953125}","{157.94976806640625, 59.87530517578125}","{78.63863372802734, 134.11669921875}","{327.62359619140625, 272.3260803222656}","{313.74835205078125, 326.9524841308594}","{622.8963012695312, 355.6764831542969}","{711.4456787109375, 426.2789001464844}","{620.6231689453125, 477.15557861328125}","{590.4539184570312, 531.6839599609375}","{524.7642211914062, 578.258544921875}","{888.0238647460938, 500.4832763671875}","{990.7014770507812, 706.8615112304688}"
"{434.91571044921875, 449.23089599609375}","{935.6212158203125, 358.4128723144531}","{402.34527587890625, 82.83599853515625}","{538.119140625, 176.00244140625}","{158.72760009765625, 60.78228759765625}","{78.1270751953125, 134.298828125}","{327.9078674316406, 272.2276611328125}","{312.5339050292969, 327.1484680175781}","{622.9237060546875, 354.4810791015625}","{709.971923828125, 425.5014343261719}","{620.2972412109375, 477.42156982421875}","{590.5780639648438, 529.6763916015625}","{521.9893188476562, 577.7504272460938}","{887.0158081054688, 500.40142822265625}","{991.4800415039062, 708.8799438476562}"
