"{742.611083984375, 425.09283447265625}","{901.81298828125, 530.2247314453125}","{560.9227294921875, 666.7116088867188}","{468.63031005859375, 626.7794799804688}","{74.90508270263672, 650.199951171875}"
"{742.690673828125, 426.8664245605469}","{902.9374389648438, 530.331787109375}","{559.8026733398438, 667.441162109375}","{468.50152587890625, 626.7998657226562}","{75.42395782470703, 651.843505859375}"
"{742.2365112304688, 427.6976013183594}","{903.1614990234375, 529.8720703125}","{562.2512817382812, 665.8313598632812}","{469.234130859375, 626.5185546875}","{76.31620788574219, 653.6993408203125}"
"{742.8997802734375, 428.10186767578125}","{905.4533081054688, 529.0995483398438}","{565.1446533203125, 666.4755249023438}","{468.1199951171875, 625.3232421875}","{76.60965728759766, 653.927490234375}"
"{742.1078491210938, 428.47845458984375}","{902.6595458984375, 530.22802734375}","{564.7205200195312, 665.5393676757812}","{465.8946533203125, 625.8046264648438}","{75.91289520263672, 654.7279663085938}"
"{741.724365234375, 429.3215637207031}","{902.5542602539062, 530.61865234375}","{565.47509765625, 665.3217163085938}","{465.0285949707031, 627.4368896484375}","{75.62527465820312, 652.5760498046875}"
"{742.504638671875, 430.4510498046875}","{902.15869140625, 530.4871826171875}","{564.7034301757812, 665.0328979492188}","{463.8877868652344, 626.3543701171875}","{76.81800842285156, 651.2937622070312}"
"{744.0791625976562, 431.0038757324219}","{901.5271606445312, 526.8047485351562}","{566.2055053710938, 663.1400756835938}","{465.6230773925781, 625.8883056640625}","{75.78894805908203, 650.899169921875}"
"{744.0563354492188, 432.8980712890625}","{900.8107299804688, 528.152099609375}","{565.2158203125, 664.1207275390625}","{466.132568359375, 625.2216796875}","{75.81375885009766, 650.6492309570312}"
"{744.4364624023438, 431.1715393066406}","{897.8695678710938, 527.0789794921875}","{567.2991333007812, 664.2386474609375}","{465.5789794921875, 627.4507446289062}","{73.1385498046875, 649.69482421875}"
"{744.8187255859375, 432.4976501464844}","{897.2930297851562, 528.7161865234375}","{566.6626586914062, 664.297607421875}","{463.6243896484375, 629.3671875}","{73.99698638916016, 650.340576171875}"
"{743.16796875, 432.6903076171875}","{896.7536010742188, 530.76953125}","{566.8428955078125, 662.6572265625}","{463.5492858886719, 626.815185546875}","{72.9715576171875, 649.0037841796875}"
"{742.7595825195312, 431.9402770996094}","{896.2742919921875, 529.728759765625}","{566.2969970703125, 662.321044921875}","{461.19195556640625, 625.84423828125}","{72.96871948242188, 645.229248046875}"
"{741.9193725585938, 432.00872802734375}","{896.6483764648438, 529.538330078125}","{567.22216796875, 660.8695068359375}","{462.5164489746094, 624.9616088867188}","{72.03691101074219, 644.6387329101562}"
"{741.9886474609375, 432.4463806152344}","{896.7279052734375, 530.44921875}","{568.079345703125, 660.9986572265625}","{461.233642578125, 623.7094116210938}","{73.96429443359375, 645.5806884765625}"
"{742.7622680664062, 432.3114929199219}","{895.73828125, 531.4032592773438}","{568.0582275390625, 660.4452514648438}","{460.91851806640625, 622.9634399414062}","{74.8260269165039, 645.8115234375}"
