"{560.4847412109375, 122.291015625}","{272.9882507324219, 455.7793273925781}","{209.13323974609375, 601.8251342773438}"
"{561.82080078125, 122.59686279296875}","{273.3414611816406, 454.670166015625}","{208.18096923828125, 600.66162109375}"
"{560.4893798828125, 122.8897705078125}","{273.5484619140625, 455.088134765625}","{208.6876220703125, 598.3038330078125}"
"{562.7155151367188, 123.0230712890625}","{273.2218017578125, 454.85845947265625}","{205.86985778808594, 597.89404296875}"
"{562.1353759765625, 123.56689453125}","{272.6368103027344, 453.80279541015625}","{203.31300354003906, 596.8809814453125}"
"{560.7906494140625, 123.09783935546875}","{272.9091796875, 454.0926208496094}","{206.14305114746094, 594.6480102539062}"
"{562.211669921875, 121.05462646484375}","{273.15924072265625, 453.4248352050781}","{205.82598876953125, 594.1278686523438}"
"{562.3618774414062, 120.258056640625}","{274.103271484375, 452.9208984375}","{207.80841064453125, 595.3975830078125}"
"{562.4804077148438, 119.82568359375}","{273.9673767089844, 453.5446472167969}","{207.53921508789062, 595.7517700195312}"
"{561.209228515625, 119.8922119140625}","{274., 453.4216613769531}","{208.33847045898438, 595.0386352539062}"
