"{705.1861572265625, 235.04974365234375}","{643.5419311523438, 73.03216552734375}","{509.67669677734375, 190.104248046875}","{441.0325622558594, 56.1439208984375}","{293.9649658203125, 246.216064453125}","{276.70501708984375, 260.38848876953125}","{225.97930908203125, 335.785888671875}","{191.74322509765625, 286.4812316894531}","{548.75390625, 625.1903076171875}","{525.5840454101562, 660.9195556640625}","{420.41357421875, 673.2653198242188}","{267.4911193847656, 530.8421020507812}","{115.97137451171875, 614.3974609375}","{335.1735534667969, 722.423095703125}","{963.7979736328125, 404.1595764160156}","{678.3643798828125, 448.74420166015625}","{598.546142578125, 397.35540771484375}"
"{704.6266479492188, 234.33599853515625}","{642.369140625, 72.15234375}","{508.8565368652344, 191.239990234375}","{438.78424072265625, 53.9918212890625}","{292.8333435058594, 245.90618896484375}","{276.8636474609375, 260.978271484375}","{227.89389038085938, 336.7663269042969}","{193.49139404296875, 284.8549499511719}","{547.142822265625, 624.6004638671875}","{523.448486328125, 662.7892456054688}","{421.8481140136719, 670.8412475585938}","{267.0511779785156, 531.2452392578125}","{115.80682373046875, 612.945556640625}","{334.7876281738281, 721.7385864257812}","{964.74560546875, 404.8449401855469}","{678.2424926757812, 448.2883605957031}","{599.1318969726562, 397.6473388671875}"
"{703.4378051757812, 234.076416015625}","{641.359619140625, 72.7078857421875}","{511.2347717285156, 190.9754638671875}","{437.1409606933594, 53.6768798828125}","{292.7668151855469, 242.9732666015625}","{276.31610107421875, 260.6828308105469}","{230.72344970703125, 337.9013366699219}","{190.2515106201172, 287.4459228515625}","{546.7225952148438, 624.37060546875}","{523.9454345703125, 660.6512451171875}","{421.75006103515625, 669.9865112304688}","{266.0758972167969, 532.52197265625}","{115.86778259277344, 613.2325439453125}","{335.12249755859375, 721.7394409179688}","{964.2415161132812, 404.57177734375}","{679.6473388671875, 446.1129455566406}","{598.3907470703125, 398.8752136230469}"
"{703.5218505859375, 232.0531005859375}","{642.1473388671875, 71.73175048828125}","{510.75311279296875, 190.33538818359375}","{438.0851135253906, 54.390380859375}","{293.2648620605469, 243.6324462890625}","{274.3171691894531, 261.5140380859375}","{232.29144287109375, 337.92242431640625}","{189.61129760742188, 286.1818542480469}","{546.9066772460938, 623.1000366210938}","{525.597412109375, 661.197021484375}","{422.7333068847656, 670.420654296875}","{265.0830993652344, 531.4888916015625}","{116.32183837890625, 612.9904174804688}","{335.6405334472656, 721.1008911132812}","{963.1929321289062, 402.214599609375}","{678.7576293945312, 446.0397644042969}","{598.180419921875, 397.1707458496094}"
"{704.2844848632812, 231.083251953125}","{641.26025390625, 71.34393310546875}","{509.949951171875, 189.46624755859375}","{439.0780334472656, 53.57684326171875}","{293.9598388671875, 244.0162353515625}","{272.3147888183594, 262.54638671875}","{233.53712463378906, 334.6733093261719}","{186.5906219482422, 286.64581298828125}","{548.6609497070312, 621.0302124023438}","{526.8817749023438, 660.58740234375}","{422.3364562988281, 669.368896484375}","{264.6244812011719, 532.0177001953125}","{115.75637817382812, 613.2705078125}","{335.9559631347656, 721.0474853515625}","{964.1677856445312, 402.9322204589844}","{681.1943359375, 447.1309509277344}","{599.3363647460938, 397.9229736328125}"
"{703.2614135742188, 229.69696044921875}","{639.3872680664062, 69.8717041015625}","{508.386474609375, 190.83697509765625}","{438.70166015625, 52.00897216796875}","{293.5950012207031, 244.41143798828125}","{272.0335693359375, 262.1587219238281}","{233.79295349121094, 335.3932800292969}","{186.4537811279297, 287.7442321777344}","{549.0567016601562, 622.02392578125}","{525.3837890625, 659.9912109375}","{420.1629333496094, 668.6393432617188}","{266.29241943359375, 531.8734741210938}","{115.94700622558594, 613.1103515625}","{335.7834777832031, 721.4453735351562}","{965.976318359375, 402.5274658203125}","{682.8429565429688, 445.09747314453125}","{599.935791015625, 397.0318603515625}"
"{704.2662353515625, 230.2630615234375}","{638.1473999023438, 69.465576171875}","{507.33642578125, 189.86260986328125}","{438.4354248046875, 51.57928466796875}","{292.2891540527344, 244.39849853515625}","{270.323486328125, 263.4714660644531}","{232.8683319091797, 334.12249755859375}","{185.4800262451172, 289.250244140625}","{547.500244140625, 624.6649780273438}","{525.9310302734375, 660.235107421875}","{420.10675048828125, 668.5048217773438}","{266.46258544921875, 531.2778930664062}","{115.9909896850586, 613.4360961914062}","{335.9981994628906, 721.5628051757812}","{967.6007080078125, 404.8272399902344}","{681.1022338867188, 444.25823974609375}","{601.656494140625, 396.1789855957031}"
"{704.2662353515625, 230.2630615234375}","{638.1473999023438, 69.465576171875}","{507.33642578125, 189.86260986328125}","{438.4354248046875, 51.57928466796875}","{292.2891540527344, 244.39849853515625}","{270.323486328125, 263.4714660644531}","{232.8683319091797, 334.12249755859375}","{185.4800262451172, 289.250244140625}","{547.500244140625, 624.6649780273438}","{525.9310302734375, 660.235107421875}","{420.10675048828125, 668.5048217773438}","{266.46258544921875, 531.2778930664062}","{115.9909896850586, 613.4360961914062}","{335.9981994628906, 721.5628051757812}","{967.6007080078125, 404.8272399902344}","{681.1022338867188, 444.25823974609375}","{601.656494140625, 396.1789855957031}"
"{705.2380981445312, 226.959716796875}","{637.1851196289062, 68.53448486328125}","{507.60540771484375, 185.42242431640625}","{442.71624755859375, 49.450927734375}","{290.7012939453125, 248.31024169921875}","{273.3641662597656, 263.5482177734375}","{233.29263305664062, 334.2974853515625}","{185.1988067626953, 287.0924072265625}","{546.8018188476562, 625.5087280273438}","{525.9011840820312, 659.1621704101562}","{416.3646545410156, 669.126953125}","{265.8982849121094, 529.144775390625}","{116.09378814697266, 613.3809204101562}","{335.0325622558594, 720.832275390625}","{965.3423461914062, 402.9649658203125}","{679.5355224609375, 445.7724304199219}","{603.0453491210938, 395.28009033203125}"
"{708.8342895507812, 227.17279052734375}","{635.4464721679688, 69.45751953125}","{507.17999267578125, 185.242919921875}","{443.96514892578125, 47.5931396484375}","{291.4388122558594, 249.23052978515625}","{274.246337890625, 264.9051818847656}","{233.79185485839844, 336.13250732421875}","{186.38087463378906, 285.9045715332031}","{547.4793701171875, 625.9227905273438}","{526.4760131835938, 660.4699096679688}","{415.38543701171875, 670.9140625}","{263.932861328125, 529.1654663085938}","{116.02495574951172, 613.4857788085938}","{336.0081787109375, 721.6692504882812}","{963.804443359375, 403.33740234375}","{679.7069091796875, 447.893798828125}","{602.7018432617188, 397.1234436035156}"
