"{320.3977355957031, 272.4009704589844}","{212.04107666015625, 28.8651123046875}","{598.4983520507812, 95.85345458984375}","{683.019287109375, 129.68719482421875}","{900.9592895507812, 685.7891235351562}","{546.0481567382812, 384.44085693359375}","{430.07611083984375, 407.31719970703125}","{283.4522399902344, 530.3465576171875}","{271.3462829589844, 434.0247497558594}","{220.54798889160156, 454.0574951171875}","{114.89601135253906, 437.30718994140625}"
"{318.90057373046875, 274.2908020019531}","{212.93002319335938, 29.4638671875}","{598.23779296875, 96.9659423828125}","{681.4047241210938, 130.79840087890625}","{900.2470092773438, 686.336181640625}","{545.629638671875, 383.7464599609375}","{430.3393249511719, 407.7344665527344}","{285.3415832519531, 533.742431640625}","{274.04437255859375, 433.1438903808594}","{221.16250610351562, 454.85235595703125}","{115.45978546142578, 437.2887268066406}"
"{316.0592346191406, 274.4812927246094}","{213.55618286132812, 30.6512451171875}","{599.65478515625, 97.46282958984375}","{679.9796752929688, 130.46148681640625}","{899.7513427734375, 685.2760620117188}","{544.9616088867188, 383.0617370605469}","{431.6135559082031, 407.9722900390625}","{287.8367004394531, 534.357421875}","{273.1133117675781, 433.4277038574219}","{221.57020568847656, 455.4010314941406}","{115.4974594116211, 437.4110412597656}"
"{314.26409912109375, 271.26910400390625}","{212.03575134277344, 32.24395751953125}","{601.20751953125, 95.8917236328125}","{679.6824340820312, 134.245361328125}","{899.234130859375, 684.4237670898438}","{544.2137451171875, 381.572021484375}","{427.9162292480469, 407.4054260253906}","{287.0516662597656, 534.6588134765625}","{273.8681945800781, 433.487060546875}","{220.87982177734375, 456.1441955566406}","{115.90509796142578, 439.3634033203125}"
"{315.6436767578125, 269.626708984375}","{212.76673889160156, 31.4002685546875}","{602.3467407226562, 96.48016357421875}","{682.3043212890625, 135.316162109375}","{898.5511474609375, 683.8428955078125}","{544.9905395507812, 379.2801818847656}","{428.44024658203125, 406.8817138671875}","{288.9232177734375, 535.7582397460938}","{275.7958679199219, 431.6184997558594}","{220.1782684326172, 454.0444641113281}","{116.04801177978516, 439.4543762207031}"
"{315.2444763183594, 268.08941650390625}","{212.97047424316406, 30.184814453125}","{602.1385498046875, 96.35296630859375}","{682.7182006835938, 135.437744140625}","{899.4398193359375, 686.8720092773438}","{545.951904296875, 380.2882385253906}","{429.7287292480469, 406.6723937988281}","{289.6594543457031, 535.8610229492188}","{274.1383056640625, 431.41644287109375}","{222.35540771484375, 453.8494567871094}","{116.9868392944336, 440.27801513671875}"
"{315.233154296875, 268.5469055175781}","{212.51388549804688, 30.61962890625}","{603.4686889648438, 97.339599609375}","{685.8129272460938, 136.883544921875}","{902.644775390625, 687.3903198242188}","{546.15625, 379.6231689453125}","{428.8302307128906, 403.1781311035156}","{288.6026916503906, 537.2748413085938}","{274.2286682128906, 432.0548095703125}","{222.11241149902344, 454.5989990234375}","{117.37458038330078, 438.5873107910156}"
"{316.6075744628906, 270.5919494628906}","{213.69264221191406, 32.91522216796875}","{603.0233154296875, 98.40301513671875}","{684.4989624023438, 138.8131103515625}","{904.6749877929688, 690.1279296875}","{548.2242431640625, 381.7845764160156}","{428.4566650390625, 403.32354736328125}","{290.9018859863281, 538.2614135742188}","{275.8455505371094, 432.5185241699219}","{221.8150634765625, 453.60980224609375}","{119.50826263427734, 436.65362548828125}"
"{315.9881591796875, 268.69482421875}","{211.54615783691406, 34.29486083984375}","{603.0521850585938, 98.51800537109375}","{685.5222778320312, 137.19085693359375}","{905.7195434570312, 688.9978637695312}","{548.124755859375, 382.10394287109375}","{428.24383544921875, 402.5028381347656}","{290.0167541503906, 538.7117919921875}","{273.3056335449219, 431.990478515625}","{221.58380126953125, 454.65289306640625}","{117.62593078613281, 438.30987548828125}"
"{313.8717041015625, 266.7821044921875}","{213.145263671875, 32.7305908203125}","{604.765625, 98.50360107421875}","{684.6583862304688, 132.5787353515625}","{907.6317749023438, 687.88427734375}","{549.4419555664062, 380.84869384765625}","{428.6507263183594, 402.1953430175781}","{289.65655517578125, 537.1736450195312}","{274.7613525390625, 430.6969299316406}","{221.0595245361328, 453.5472412109375}","{116.6543960571289, 438.34161376953125}"
"{312.3533935546875, 267.662109375}","{215.44207763671875, 32.868408203125}","{604.5484008789062, 97.4423828125}","{684.7858276367188, 134.27117919921875}","{908.873291015625, 686.1192016601562}","{548.89404296875, 380.943115234375}","{429.39019775390625, 400.6537170410156}","{289.8200378417969, 537.181640625}","{277.2269287109375, 432.1743469238281}","{221.42584228515625, 454.037109375}","{114.22459411621094, 440.7804260253906}"
"{313.06982421875, 265.2408142089844}","{214.57232666015625, 29.99688720703125}","{602.12939453125, 97.34124755859375}","{684.8095092773438, 132.99249267578125}","{908.6257934570312, 684.8497924804688}","{549.9972534179688, 380.73907470703125}","{428.2040710449219, 400.437744140625}","{287.02728271484375, 536.7982177734375}","{275.4150390625, 430.3230895996094}","{219.43753051757812, 454.0765686035156}","{115.88534545898438, 441.1146240234375}"
"{312.8634338378906, 267.0401306152344}","{215.73931884765625, 28.44732666015625}","{600.9172973632812, 97.5601806640625}","{684.6071166992188, 131.6702880859375}","{910.1505126953125, 684.2221069335938}","{549.1917114257812, 379.8014221191406}","{428.33380126953125, 402.7687683105469}","{287.7861328125, 537.4752197265625}","{274.6675109863281, 430.8258361816406}","{219.75601196289062, 454.3360900878906}","{115.51656341552734, 439.56378173828125}"
"{313.3262939453125, 268.522705078125}","{217.25030517578125, 26.6290283203125}","{600.9600830078125, 97.345458984375}","{685.491943359375, 130.5423583984375}","{909.955810546875, 685.1593627929688}","{550.3887939453125, 381.1180114746094}","{429.53009033203125, 403.14544677734375}","{288.9916687011719, 537.355712890625}","{273.8817443847656, 432.382080078125}","{218.8164825439453, 453.8362731933594}","{114.98301696777344, 440.74114990234375}"
"{312.3975524902344, 267.6631164550781}","{216.90672302246094, 24.9796142578125}","{600.2108764648438, 94.38201904296875}","{684.3939208984375, 130.83673095703125}","{908.1979370117188, 686.02490234375}","{553.4134521484375, 380.02923583984375}","{427.9654846191406, 402.70965576171875}","{287.6836242675781, 537.6231079101562}","{274.5086364746094, 433.42913818359375}","{219.1852569580078, 453.2627258300781}","{114.54450988769531, 440.81109619140625}"
