"{873.9436645507812, 282.4050598144531}","{882.3753662109375, 506.9911193847656}","{593.5161743164062, 641.770751953125}","{349.13720703125, 394.740478515625}"
"{875.4845581054688, 281.2692565917969}","{883.7197265625, 508.07183837890625}","{594.253662109375, 643.1469116210938}","{350.8408508300781, 395.47674560546875}"
"{874.927734375, 279.9764404296875}","{883.4579467773438, 508.22540283203125}","{597.0087280273438, 642.5413818359375}","{352.2242431640625, 396.68768310546875}"
"{876.4403686523438, 279.0611267089844}","{884.3838500976562, 511.32257080078125}","{596.125244140625, 644.4515991210938}","{353.3891296386719, 397.1234130859375}"
"{876.1448974609375, 276.0951232910156}","{883.0360717773438, 515.624755859375}","{594.8289794921875, 644.6931762695312}","{353.7236022949219, 397.67938232421875}"
"{876.307373046875, 274.5379333496094}","{885.5969848632812, 514.9074096679688}","{594.7647094726562, 641.0767211914062}","{355.17242431640625, 397.9246520996094}"
"{874.9915771484375, 275.1735534667969}","{887.2249755859375, 514.909912109375}","{596.649169921875, 641.1809692382812}","{354.08355712890625, 399.5583190917969}"
"{874.9915771484375, 275.1735534667969}","{887.2249755859375, 514.909912109375}","{596.649169921875, 641.1809692382812}","{354.08355712890625, 399.5583190917969}"
"{874.7841796875, 277.78143310546875}","{886.2110595703125, 516.544677734375}","{596.1365966796875, 638.3468017578125}","{353.22174072265625, 398.24468994140625}"
"{877.4686889648438, 277.3660888671875}","{886.285888671875, 516.74072265625}","{595.4408569335938, 638.1026611328125}","{352.3746032714844, 399.1352233886719}"
"{877.033935546875, 276.68267822265625}","{885.5597534179688, 517.8074951171875}","{594.2850341796875, 639.1390380859375}","{350.9313049316406, 400.6817932128906}"
"{876.1644287109375, 273.0508728027344}","{882.5618896484375, 518.0847778320312}","{596.587158203125, 639.1171264648438}","{350.32666015625, 398.21240234375}"
"{876.3112182617188, 273.97802734375}","{880.5305786132812, 518.23779296875}","{598.0152587890625, 638.1222534179688}","{351.3631286621094, 396.36181640625}"
"{876.4285278320312, 273.19805908203125}","{879.6769409179688, 518.476806640625}","{596.8704833984375, 636.4478149414062}","{353.6216735839844, 397.0096435546875}"
"{877.2000732421875, 271.1217041015625}","{879.759765625, 516.4955444335938}","{594.488037109375, 632.649169921875}","{353.53057861328125, 397.9217224121094}"
"{875.8307495117188, 270.04248046875}","{880.3928833007812, 516.294677734375}","{595.3982543945312, 630.354736328125}","{354.0968017578125, 398.49542236328125}"
"{878.51806640625, 270.0879821777344}","{880.7721557617188, 517.1653442382812}","{595.8392333984375, 629.6973876953125}","{353.2452087402344, 398.0973205566406}"
"{875.7891235351562, 273.41033935546875}","{880.8768920898438, 518.3273315429688}","{595.59033203125, 629.45068359375}","{351.6918029785156, 398.5496826171875}"
"{875.9694213867188, 274.452392578125}","{880.7901000976562, 519.5474853515625}","{595.3300170898438, 629.5219116210938}","{351.7473449707031, 398.52130126953125}"
"{876.0054931640625, 274.59002685546875}","{880.1671752929688, 517.006591796875}","{591.9847412109375, 629.4132690429688}","{350.3548889160156, 395.8529968261719}"
"{873.0723876953125, 275.80059814453125}","{879.6234130859375, 515.3775634765625}","{593.8276977539062, 628.81787109375}","{349.8848876953125, 392.32440185546875}"
"{873.1997680664062, 278.15301513671875}","{879.3903198242188, 512.66650390625}","{592.505859375, 630.2138061523438}","{348.67205810546875, 390.6502380371094}"
"{871.8645629882812, 279.282470703125}","{877.0370483398438, 514.5867309570312}","{590.7874755859375, 629.8912963867188}","{346.6017150878906, 391.4239501953125}"
"{873.4603271484375, 278.32916259765625}","{877.8948364257812, 513.2254028320312}","{590.838134765625, 628.4495849609375}","{347.6616516113281, 394.0568542480469}"
"{874.3823852539062, 280.1405944824219}","{877.31591796875, 513.083740234375}","{592.7156982421875, 628.523193359375}","{348.63201904296875, 394.65179443359375}"
"{871.00830078125, 280.3085632324219}","{875.9378662109375, 514.4853515625}","{591.7877807617188, 630.2221069335938}","{348.06146240234375, 394.1961975097656}"
"{872.834716796875, 281.56439208984375}","{873.8922729492188, 514.5508422851562}","{593.1519775390625, 631.4302978515625}","{348.82037353515625, 393.6787109375}"
"{873.9082641601562, 278.8406982421875}","{872.34326171875, 512.337646484375}","{592.2744750976562, 630.5830078125}","{350.03338623046875, 393.1960144042969}"
"{873.4937133789062, 278.77996826171875}","{873.132568359375, 514.4825439453125}","{594.6270751953125, 630.1935424804688}","{349.4723815917969, 393.8642883300781}"
"{875.109375, 281.2199401855469}","{873.963623046875, 512.9021606445312}","{594.1069946289062, 628.6151123046875}","{348.33355712890625, 391.4027099609375}"
"{876.468994140625, 280.9605407714844}","{875.4965209960938, 512.975341796875}","{594.7787475585938, 630.1826782226562}","{347.38427734375, 391.6013488769531}"
"{874.6511840820312, 280.8832092285156}","{873.832763671875, 513.7095336914062}","{596.3856201171875, 630.872314453125}","{345.69720458984375, 388.82830810546875}"
"{871.7703247070312, 279.7989807128906}","{873.323486328125, 513.8704833984375}","{595.1370239257812, 631.6134033203125}","{343.7131652832031, 388.3534240722656}"
