"{968.0526123046875, 481.8556823730469}","{425.7063903808594, 335.0745544433594}","{570.8333129882812, 493.76641845703125}","{494.0480651855469, 116.33740234375}","{777.40185546875, 97.1463623046875}","{851.4253540039062, 365.3351745605469}","{830.1490478515625, 247.867919921875}","{677.3323364257812, 347.1448974609375}","{753.06787109375, 314.18853759765625}","{675.6801147460938, 202.63726806640625}","{590.197998046875, 263.47552490234375}","{484.03076171875, 669.256103515625}","{311.7322998046875, 607.4411010742188}","{312.39862060546875, 680.430419921875}"
"{969.5409545898438, 482.6176452636719}","{426.37652587890625, 335.6736755371094}","{571.7217407226562, 494.1423645019531}","{493.3974609375, 115.63653564453125}","{778.2984008789062, 99.0697021484375}","{853.3078002929688, 365.2550354003906}","{829.893798828125, 247.83502197265625}","{678.1392822265625, 347.63507080078125}","{753.8417358398438, 314.2767028808594}","{675.147705078125, 202.938232421875}","{590.4403076171875, 264.1501770019531}","{483.63763427734375, 671.0911254882812}","{314.31317138671875, 607.603515625}","{312.4958190917969, 681.1104736328125}"
"{969.5730590820312, 482.4094543457031}","{428.45245361328125, 337.0120849609375}","{573.5643310546875, 493.01116943359375}","{494.7462158203125, 114.16534423828125}","{778.3045043945312, 99.1380615234375}","{852.380615234375, 363.6347351074219}","{830.936279296875, 245.25927734375}","{678.4830932617188, 345.4572448730469}","{752.45361328125, 313.2402648925781}","{676.3388061523438, 201.15673828125}","{589.4921264648438, 264.3603515625}","{485.1498718261719, 670.8638916015625}","{313.3698425292969, 606.7465209960938}","{315.4514465332031, 679.243896484375}"
"{969.5730590820312, 482.4094543457031}","{428.45245361328125, 337.0120849609375}","{573.5643310546875, 493.01116943359375}","{494.7462158203125, 114.16534423828125}","{778.3045043945312, 99.1380615234375}","{852.380615234375, 363.6347351074219}","{830.936279296875, 245.25927734375}","{678.4830932617188, 345.4572448730469}","{752.45361328125, 313.2402648925781}","{676.3388061523438, 201.15673828125}","{589.4921264648438, 264.3603515625}","{485.1498718261719, 670.8638916015625}","{313.3698425292969, 606.7465209960938}","{315.4514465332031, 679.243896484375}"
"{965.5415649414062, 480.99761962890625}","{429.0818176269531, 335.8675231933594}","{571.2509765625, 490.08148193359375}","{492.8938293457031, 115.76593017578125}","{781.6124877929688, 100.4088134765625}","{852.396240234375, 365.9332580566406}","{833.5799560546875, 248.7012939453125}","{678.4027099609375, 348.7667541503906}","{756.3355102539062, 310.80609130859375}","{677.6865844726562, 200.8887939453125}","{590.7005004882812, 267.8553466796875}","{487.3583984375, 670.35205078125}","{311.690673828125, 604.6343383789062}","{317.0106201171875, 676.523193359375}"
"{965.9764404296875, 482.27471923828125}","{427.0517578125, 337.3819274902344}","{571.8392944335938, 489.583740234375}","{492.8335876464844, 116.12164306640625}","{782.1110229492188, 98.99169921875}","{853.7730712890625, 364.9234313964844}","{833.9244995117188, 246.892578125}","{679.9594116210938, 349.3062438964844}","{755.3165283203125, 311.35772705078125}","{678.2427368164062, 201.99798583984375}","{592.7943725585938, 270.9781799316406}","{487.448974609375, 668.8568115234375}","{312.12371826171875, 606.7467651367188}","{318.2080993652344, 675.8177490234375}"
"{965.9002685546875, 480.50616455078125}","{424.40020751953125, 339.9240417480469}","{571.546630859375, 492.8094787597656}","{492.7947998046875, 117.52099609375}","{783.21435546875, 99.35467529296875}","{853.2909545898438, 362.4746398925781}","{834.6145629882812, 247.06158447265625}","{680.059326171875, 348.95721435546875}","{754.8378295898438, 312.2331237792969}","{674.9755249023438, 203.5267333984375}","{593.1707153320312, 271.3041687011719}","{486.5147705078125, 669.9581298828125}","{311.7624206542969, 606.6385498046875}","{317.8639221191406, 674.9969482421875}"
"{962.671142578125, 479.1758728027344}","{422.8236389160156, 337.8017578125}","{571.8031616210938, 491.0685119628906}","{493.11395263671875, 117.1080322265625}","{783.8876953125, 100.0625}","{853.8250122070312, 362.1561279296875}","{834.8534545898438, 245.87652587890625}","{680.731689453125, 348.5688171386719}","{753.49658203125, 312.2095031738281}","{673.5408935546875, 203.062255859375}","{593.2120361328125, 273.076904296875}","{487.1878662109375, 668.84326171875}","{310.8472595214844, 604.3431396484375}","{321.2320861816406, 675.3245239257812}"
"{964.086669921875, 479.17755126953125}","{421.16998291015625, 338.5497131347656}","{572.049072265625, 495.3474426269531}","{494.2879638671875, 117.22528076171875}","{781.4293823242188, 101.69921875}","{853.8638305664062, 363.1997985839844}","{833.896728515625, 244.69903564453125}","{680.3184204101562, 347.3814392089844}","{752.2702026367188, 313.47332763671875}","{675.7197875976562, 203.63214111328125}","{594.9904174804688, 273.8937683105469}","{486.1849670410156, 667.8196411132812}","{310.7150573730469, 604.5698852539062}","{321.32257080078125, 675.6082153320312}"
"{963.4383544921875, 480.3353271484375}","{421.004150390625, 337.62750244140625}","{571.1657104492188, 495.76934814453125}","{492.5791320800781, 119.4727783203125}","{781.8619995117188, 102.357666015625}","{855.3916625976562, 362.7122802734375}","{835.70458984375, 242.19342041015625}","{678.935302734375, 348.7108154296875}","{752.5698852539062, 310.1217346191406}","{675.5206298828125, 203.8427734375}","{596.0042114257812, 273.3831787109375}","{486.4063415527344, 667.6341552734375}","{310.5394592285156, 602.6126708984375}","{321.28375244140625, 677.4508056640625}"
